"","deplete","cost"
"823",0.011,21.2298941707961
"824",0.012,21.4030709487577
"825",0.011,25.4081022769152
"826",0.008,12.9249713587485
"827",0.009,22.7805802847178
"828",0.01,18.3888109687439
"829",0.006,13.0907033690726
"830",0.007,14.3902548762654
"831",0.006,17.4174318712734
"832",0.009,26.5475524228618
"833",0.018,63.5416005605617
"834",0.019,7.76270164591468
"835",0.015,33.0827405879377
"836",0.01,19.8911195653854
"837",0.017,49.1322951749906
"838",0.012,29.2446808661858
"839",0.013,28.2355588646059
"840",0.01,17.323351751559
"841",0.012,25.8794608972972
"842",0.017,17.6922256615753
"843",0.017,59.8738209696976
"844",0.014,39.1401794604377
"845",0.008,17.0647475490205
"846",0.013,27.6120718353589
"847",0.007,15.0051952966967
"848",0.011,27.5270682892866
"849",0.007,18.1064750308627
"850",0.007,17.9873581640062
"851",0.01,25.3201778269752
"852",0.016,49.4184829772131
"853",0.014,29.7486707706015
"854",0.016,22.3031379578336
"855",0.013,43.2503750015986
"856",0.009,19.7947624278141
"857",0.016,30.9313975173267
"858",0.013,26.5971710835956
"859",0.01,18.7317563346888
"860",0.012,25.9709962363861
"861",0.014,35.5056947190117
"862",0.018,72.1276380451097
"863",0.017,37.0895026019655
"864",0.013,33.6100491406613
"865",0.011,20.401575256671
"866",0.01,17.6623542300075
"867",0.009,22.6422075414627
"868",0.01,24.2104172731514
"869",0.008,14.2950524763788
"870",0.011,17.138333492663
"871",0.018,56.4166627048972
"872",0.019,17.1243753120051
"873",0.018,56.4401028267128
"874",0.009,17.6501040626924
"875",0.011,21.1135752531507
"876",0.014,19.6550991954313
"877",0.018,68.4157813124471
"878",0.016,44.7810321680921
"879",0.006,15.4774694619543
"880",0.007,16.1772973639704
"881",0.01,20.4104878642907
"882",0.008,11.72386477809
"883",0.007,15.0692196350391
"884",0.005,12.417239897252
"885",0.008,16.8459316304166
"886",0.009,14.8356440782429
